timestamp,x,y,z
0,-5.08,-8.47,3.77
10,-5.12,-8.43,3.67
20,-5.09,-8.37,3.65
30,-5.08,-8.29,3.57
40,-5.05,-8.2,3.52
50,-5.04,-8.1,3.46
60,-4.99,-8.01,3.52
70,-4.96,-7.93,3.51
80,-4.91,-7.87,3.44
90,-4.85,-7.84,3.41
100,-4.82,-7.75,3.32
110,-4.71,-7.67,3.17
120,-4.6,-7.57,3.01
130,-4.57,-7.43,2.96
140,-4.56,-7.26,2.87
150,-4.54,-6.96,2.77
160,-4.51,-6.77,2.72
170,-4.44,-6.7,2.64
180,-4.35,-6.72,2.67
190,-4.32,-6.63,2.57
200,-4.23,-6.66,2.78
210,-4.17,-6.54,2.92
220,-4.07,-6.46,3.03
230,-3.95,-6.45,3.07
240,-3.87,-6.42,3.16
250,-3.71,-6.4,3.18
260,-3.5,-6.42,3.25
270,-3.39,-6.43,3.26
280,-3.06,-6.51,3.4
290,-2.92,-6.54,3.62
300,-2.69,-6.49,3.88
310,-2.41,-6.48,4.18
320,-2.19,-6.54,4.27
330,-1.96,-6.51,4.33
340,-1.78,-6.5,4.5
350,-1.63,-6.45,4.61
360,-1.59,-6.38,4.75
370,-1.55,-6.42,4.99
380,-1.57,-6.5,5.1
390,-1.54,-6.57,5.15
400,-1.51,-6.59,5.28
410,-1.56,-6.65,5.51
420,-1.69,-6.83,5.76
430,-1.85,-7.05,5.9
440,-2.06,-7.14,6.09
450,-2.24,-7.4,6.23
460,-2.32,-7.59,6.34
470,-2.37,-7.61,6.53
480,-2.54,-7.61,6.76
490,-2.72,-7.62,6.95
500,-2.8,-7.73,7.02
510,-2.82,-7.87,7.04
520,-2.97,-8.06,7.1
530,-3.08,-8.25,7.1
540,-3.31,-8.38,7.15
550,-3.53,-8.49,7.3
560,-3.64,-8.74,7.72
570,-3.85,-9.12,8.28
580,-4.07,-9.29,8.9
590,-4.22,-9.44,9.22
600,-4.53,-9.43,9.15
610,-5.13,-9.29,8.83
620,-5.79,-9.12,8.13
630,-6.08,-8.1,7.41
640,-6.47,-7.94,7.08
650,-6.49,-7.75,6.9
660,-6.55,-7.55,6.95
670,-6.69,-7.26,7.11
680,-7.15,-6.86,7.27
690,-7.6,-6.63,7.14
700,-8.01,-6.51,6.85
710,-8.34,-6.47,6.59
720,-8.55,-6.45,6.37
730,-8.82,-6.34,5.91
740,-9.07,-6.15,5.47
750,-9.63,-6.29,5.0
760,-10.46,-6.22,4.6
770,-11.25,-5.94,4.18
780,-11.81,-6.15,3.79
790,-11.83,-6.27,3.34
800,-11.57,-6.45,2.96
810,-11.18,-6.28,2.89
820,-10.52,-5.68,3.21
830,-9.9,-5.19,3.45
840,-9.2,-4.66,3.57
850,-8.65,-4.25,3.47
860,-8.02,-4.08,3.37
870,-7.24,-3.93,3.37
880,-6.61,-3.84,3.36
890,-5.99,-3.89,3.52
900,-5.46,-4.03,3.57
910,-4.92,-3.99,3.58
920,-4.39,-4.07,3.69
930,-3.9,-4.06,3.8
940,-3.43,-4.18,3.89
950,-2.88,-4.28,3.96
960,-2.43,-4.36,3.89
970,-1.99,-4.54,3.77
980,-1.54,-4.71,3.63
990,-1.19,-4.92,3.37
1000,-0.9,-5.22,3.08
