timestamp,x,y,z
0,-4.7,-7.7,4.64
10,-4.73,-7.7,4.55
20,-4.72,-7.68,4.41
30,-4.61,-7.73,4.39
40,-4.64,-7.7,4.29
50,-4.67,-7.73,4.25
60,-4.51,-7.78,4.3
70,-4.56,-7.83,4.23
80,-4.47,-7.79,4.18
90,-4.4,-7.63,4.07
100,-4.32,-7.51,3.76
110,-4.18,-7.41,3.54
120,-4.0,-7.32,3.34
130,-3.96,-7.28,3.1
140,-3.76,-7.26,2.94
150,-3.72,-7.24,2.79
160,-3.59,-7.19,2.67
170,-3.34,-7.14,2.64
180,-3.26,-7.05,2.53
190,-3.15,-7.01,2.47
200,-3.0,-6.84,2.33
210,-3.14,-6.69,2.13
220,-3.1,-6.54,2.02
230,-3.09,-6.45,1.85
240,-3.11,-6.37,1.78
250,-3.24,-6.32,1.92
260,-3.37,-6.23,2.09
270,-3.47,-6.22,2.39
280,-3.49,-6.16,2.68
290,-3.7,-6.11,2.89
300,-3.63,-5.94,2.89
310,-3.58,-5.86,2.9
320,-3.62,-5.81,3.04
330,-3.51,-5.67,3.14
340,-3.56,-5.45,3.47
350,-3.58,-5.27,3.68
360,-3.7,-5.08,3.86
370,-3.89,-4.99,4.26
380,-4.1,-4.95,4.56
390,-4.39,-4.94,4.92
400,-4.56,-4.92,5.32
410,-4.72,-4.88,5.8
420,-4.9,-4.89,6.17
430,-5.01,-4.83,6.45
440,-5.2,-4.71,6.76
450,-5.66,-4.35,6.8
460,-6.05,-3.76,6.99
470,-6.59,-3.36,7.54
480,-7.21,-3.36,8.01
490,-7.27,-3.38,8.31
500,-7.73,-3.57,8.14
510,-7.99,-3.73,8.14
520,-8.41,-4.05,8.21
530,-8.78,-4.24,8.35
540,-19.73,-6.77,15.37
550,-11.65,-7.85,12.57
560,-7.58,-6.12,7.91
570,-9.67,-5.41,8.09
580,-10.86,-3.86,6.39
590,-10.8,-4.51,6.75
600,-9.84,-5.0,6.94
610,-11.43,-6.44,8.94
620,-10.29,-7.23,9.35
630,-9.88,-8.03,9.39
640,-10.26,-7.73,8.78
650,-10.25,-6.91,8.62
660,-9.94,-6.4,8.43
670,-9.38,-5.9,8.32
680,-8.88,-5.4,8.17
690,-8.32,-5.02,7.9
700,-7.39,-5.0,7.62
710,-6.72,-4.98,7.18
720,-6.09,-5.17,6.89
730,-5.76,-5.2,6.53
740,-5.15,-4.82,6.26
750,-5.25,-5.79,5.96
760,-4.87,-5.68,5.77
770,-4.44,-5.68,5.49
780,-4.01,-5.71,5.18
790,-3.85,-5.74,5.04
800,-3.57,-5.7,4.66
810,-3.23,-5.77,4.41
820,-2.98,-5.81,4.26
830,-2.73,-5.9,3.88
840,-2.63,-6.02,3.68
850,-2.36,-6.08,3.48
860,-2.32,-6.25,3.08
870,-2.12,-6.31,2.79
880,-1.89,-6.37,2.52
890,-1.39,-5.8,2.4
900,-1.89,-6.67,2.1
910,-1.6,-6.51,1.85
920,-1.28,-6.31,1.61
930,-1.36,-6.4,1.31
940,-1.24,-6.49,1.06
950,-1.23,-6.71,1.03
960,-1.19,-7.01,1.11
970,-1.18,-7.21,0.96
980,-0.95,-7.36,0.97
990,-1.01,-7.43,0.88
1000,-1.23,-7.43,0.88
