timestamp,x,y,z
0,-4.01,-8.56,4.73
10,-4.08,-8.73,4.79
20,-4.0,-8.64,4.87
30,-3.9,-8.61,4.75
40,-3.83,-8.66,4.59
50,-3.65,-8.52,4.13
60,-4.26,-8.42,4.23
70,-4.44,-8.28,3.95
80,-4.78,-8.17,4.01
90,-4.92,-8.14,4.12
100,-5.01,-8.15,4.01
110,-5.04,-8.07,4.04
120,-4.98,-8.01,4.19
130,-4.74,-7.93,4.24
140,-4.61,-7.76,4.41
150,-4.54,-7.51,4.55
160,-4.49,-7.39,4.67
170,-4.28,-7.36,4.88
180,-3.97,-7.38,4.93
190,-3.6,-7.38,4.99
200,-3.23,-7.43,4.91
210,-3.0,-7.46,4.81
220,-2.64,-7.44,4.85
230,-2.32,-7.42,4.88
240,-1.95,-7.41,4.92
250,-1.6,-7.36,5.01
260,-1.19,-7.32,5.12
270,-0.67,-7.39,5.18
280,-0.17,-7.41,5.23
290,0.19,-7.39,5.2
300,0.6,-7.37,5.26
310,0.87,-7.21,5.24
320,0.8,-7.07,5.14
330,0.79,-6.96,4.94
340,1.02,-6.88,4.92
350,1.53,-7.1,5.21
360,2.13,-7.44,5.63
370,2.89,-7.75,5.98
380,2.96,-7.63,6.12
390,3.0,-7.47,6.49
400,3.22,-7.34,6.89
410,3.51,-7.41,7.21
420,3.79,-7.57,7.37
430,3.97,-7.71,7.4
440,4.03,-7.84,7.36
450,3.86,-7.85,7.32
460,3.49,-7.72,7.31
470,3.12,-7.67,7.42
480,2.79,-7.73,7.51
490,2.48,-7.77,7.66
500,2.15,-7.85,7.69
510,1.72,-7.95,7.52
520,1.25,-7.93,7.22
530,0.74,-7.86,6.87
540,0.19,-7.66,6.48
550,-0.27,-7.65,6.16
560,-0.43,-7.59,5.96
570,-0.71,-7.41,5.9
580,-1.44,-7.02,5.94
590,-2.07,-6.78,6.0
600,-2.68,-6.79,6.09
610,-3.05,-6.82,6.04
620,-3.26,-6.9,6.15
630,-3.58,-7.12,6.03
640,-4.04,-7.24,5.71
650,-4.97,-7.2,5.61
660,-5.7,-6.88,5.5
670,-6.72,-6.29,5.72
680,-7.16,-5.94,5.85
690,-7.5,-5.84,5.83
700,-7.38,-5.68,5.6
710,-7.39,-5.62,5.51
720,-7.32,-5.32,5.52
730,-7.29,-5.42,5.49
740,-7.21,-5.43,5.55
750,-7.07,-5.54,5.78
760,-6.9,-5.64,6.05
770,-6.6,-5.77,6.39
780,-6.15,-5.94,6.41
790,-6.05,-5.99,6.48
800,-6.16,-5.96,6.54
810,-5.96,-5.84,6.68
820,-5.71,-5.81,6.88
830,-5.4,-5.76,6.9
840,-5.04,-5.75,6.96
850,-4.79,-5.81,7.11
860,-4.57,-5.94,7.12
870,-4.43,-6.09,7.24
880,-4.19,-6.2,7.31
890,-3.96,-6.35,7.36
900,-3.73,-6.47,7.26
910,-3.57,-6.57,7.21
920,-3.37,-6.61,7.2
930,-3.12,-6.69,7.04
940,-2.88,-6.77,6.94
950,-2.54,-6.81,6.92
960,-2.22,-6.83,6.95
970,-1.99,-6.82,6.87
980,-1.63,-6.86,6.85
990,-1.21,-7.02,6.98
1000,-0.8,-7.06,7.04
